,participating_rxn_id,subsystem,enz_usage_flux_lipid
99,r_0226No2,Oxidative phosphorylation,-5.625178488467915e-07
100,r_0300No1,Citrate cycle (TCA cycle),-1.1327937980636733e-06
101,draw_prot_P00890,Enzyme usage,-1.1327937980636733e-06
102,draw_prot_P00899,Enzyme usage,1.039580360609088e-05
103,r_0203No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",1.039580360609088e-05
104,r_0913No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",8.738526748669034e-08
105,draw_prot_P00912,Enzyme usage,8.738526748669034e-08
106,r_0366No2,Glycolysis / gluconeogenesis,1.3681620738083439e-05
107,draw_prot_P00924,Enzyme usage,1.3681620738083439e-05
108,r_0366_REVNo2,Glycolysis / gluconeogenesis,1.3681620738083439e-05
109,r_0366_REVNo3,Glycolysis / gluconeogenesis,0.0
110,draw_prot_P00925,Enzyme usage,0.0
111,r_0366No3,Glycolysis / gluconeogenesis,0.0
112,r_0693No1,"Glycine, serine and threonine metabolism",0.0
113,draw_prot_P00927,Enzyme usage,0.0
114,r_1055No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",7.772509076596986e-09
115,draw_prot_P00931,Enzyme usage,7.772509076596986e-09
116,draw_prot_P00937,Enzyme usage,1.0939004042986504e-05
117,r_0203No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",1.0939004042986504e-05
118,r_0566No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",1.0939004042986504e-05
119,draw_prot_P00942,Enzyme usage,1.816326583536085e-07
120,r_1054_REVNo1,Glycolysis / gluconeogenesis,1.816326583536085e-07
121,r_1054No1,Glycolysis / gluconeogenesis,1.816326583536085e-07
122,r_0893_REVNo2,Glycolysis / gluconeogenesis,0.0
123,r_0893No2,Glycolysis / gluconeogenesis,0.0
124,r_0356No1,Glycolysis / gluconeogenesis,0.0
125,draw_prot_P00950,Enzyme usage,0.0
126,r_0356_REVNo1,Glycolysis / gluconeogenesis,0.0
127,r_0729No1,tRNA metabolism,-1.633695433276074e-05
128,draw_prot_P00958,Enzyme usage,-1.633695433276074e-05
129,draw_prot_P03962,Enzyme usage,-1.9912807665524172e-08
130,r_0821No1,Pyrimidine metabolism,-1.9912807665524172e-08
131,r_0250No1,Pyrimidine metabolism,-1.2248707660867709e-08
132,draw_prot_P03965,Enzyme usage,-1.2248707660867709e-08
133,draw_prot_P04037,Enzyme usage,-2.528858257636811e-06
134,r_0438No1,Oxidative phosphorylation,-2.528858257636811e-06
135,r_0438No1,Oxidative phosphorylation,-5.057779651496163e-06
136,draw_prot_P04039,Enzyme usage,-5.057779651496163e-06
137,draw_prot_P04046,Enzyme usage,-7.0027432594139986e-09
138,r_0915No1,Purine metabolism,-7.0027432594139986e-09
139,draw_prot_P04076,Enzyme usage,-7.2459506777883816e-09
140,r_0207_REVNo1,Arginine biosynthesis,-7.2459506777883816e-09
141,r_0207No1,Arginine biosynthesis,-7.2459506777883816e-09
142,r_0499No1,Purine metabolism,-5.192601962815659e-08
143,draw_prot_P04161,Enzyme usage,-5.192601962815659e-08
144,r_0061No1,"Valine, leucine and isoleucine metabolism",-4.326919776777253e-06
145,draw_prot_P04173,Enzyme usage,-4.326919776777253e-06
146,draw_prot_P04385,Enzyme usage,0.0
147,r_0458No1,Galactose metabolism,0.0
148,r_1070No1,Galactose metabolism,0.0
149,r_1070_REVNo1,Galactose metabolism,0.0
150,draw_prot_P04397,Enzyme usage,0.0
151,r_1042No1,tRNA metabolism,-7.616369310316818e-06
152,draw_prot_P04801,Enzyme usage,-7.616369310316818e-06
153,draw_prot_P04802,Enzyme usage,-5.866156315323969e-06
154,r_0220No1,tRNA metabolism,-5.866156315323969e-06
155,draw_prot_P04803,Enzyme usage,0.0
156,r_1058No1,tRNA metabolism,0.0
157,r_0535No2,Glycolysis / gluconeogenesis,0.0
158,draw_prot_P04806,Enzyme usage,0.0
159,r_0533No2,Glycolysis / gluconeogenesis,0.0
160,r_0534No3,Glycolysis / gluconeogenesis,0.0
161,r_0533No3,Glycolysis / gluconeogenesis,0.0
162,r_0535No3,Glycolysis / gluconeogenesis,0.0
163,draw_prot_P04807,Enzyme usage,0.0
164,r_0534No4,Glycolysis / gluconeogenesis,0.0
165,r_0227No1,"Transport [c, e]",0.0
166,draw_prot_P05030,Enzyme usage,0.0
167,r_0816No1,Arginine biosynthesis,-2.589067867834835e-07
168,draw_prot_P05150,Enzyme usage,-2.589067867834835e-07
169,draw_prot_P05373,Enzyme usage,0.0
170,r_0935No1,Porphyrin and chlorophyll metabolism,0.0
171,r_2493No1,Glycerophospholipid metabolism,0.0
172,r_2489No1,Glycerophospholipid metabolism,0.0
173,r_2490No1,Glycerophospholipid metabolism,0.0
174,r_2491No1,Glycerophospholipid metabolism,0.0
175,r_2494No1,Glycerophospholipid metabolism,0.0
176,r_2488No1,Glycerophospholipid metabolism,0.0
177,r_2495No1,Glycerophospholipid metabolism,0.0
178,draw_prot_P05374,Enzyme usage,0.0
179,r_2492No1,Glycerophospholipid metabolism,0.0
180,r_2494No2,Glycerophospholipid metabolism,3.4794819436714035e-07
181,r_2507No1,Glycerophospholipid metabolism,3.4794819436714035e-07
182,r_2500No1,Glycerophospholipid metabolism,3.4794819436714035e-07
183,r_2493No2,Glycerophospholipid metabolism,3.4794819436714035e-07
184,r_2508No1,Glycerophospholipid metabolism,3.4794819436714035e-07
185,r_2492No2,Glycerophospholipid metabolism,3.4794819436714035e-07
186,r_2503No1,Glycerophospholipid metabolism,3.4794819436714035e-07
187,r_2496No1,Glycerophospholipid metabolism,3.4794819436714035e-07
188,r_2501No1,Glycerophospholipid metabolism,3.4794819436714035e-07
189,r_2504No1,Glycerophospholipid metabolism,3.4794819436714035e-07
190,r_2509No1,Glycerophospholipid metabolism,3.4794819436714035e-07
191,r_2511No1,Glycerophospholipid metabolism,3.4794819436714035e-07
192,r_2491No2,Glycerophospholipid metabolism,3.4794819436714035e-07
193,r_2490No2,Glycerophospholipid metabolism,3.4794819436714035e-07
194,r_2502No1,Glycerophospholipid metabolism,3.4794819436714035e-07
195,r_2495No2,Glycerophospholipid metabolism,3.4794819436714035e-07
196,r_2506No1,Glycerophospholipid metabolism,3.4794819436714035e-07
197,draw_prot_P05375,Enzyme usage,3.4794819436714035e-07
198,r_2510No1,Glycerophospholipid metabolism,3.4794819436714035e-07
199,r_2505No1,Glycerophospholipid metabolism,3.4794819436714035e-07
200,r_2497No1,Glycerophospholipid metabolism,3.4794819436714035e-07
201,r_2498No1,Glycerophospholipid metabolism,3.4794819436714035e-07
202,r_2489No2,Glycerophospholipid metabolism,3.4794819436714035e-07
203,r_2488No2,Glycerophospholipid metabolism,3.4794819436714035e-07
204,r_2499No1,Glycerophospholipid metabolism,3.4794819436714035e-07
205,r_0226No1,Oxidative phosphorylation,-5.625178488467916e-07
206,draw_prot_P05626,Enzyme usage,-5.625178488467916e-07
207,r_0226No2,Oxidative phosphorylation,-5.625178488467916e-07
208,r_0085No1,Cysteine and methionine metabolism,1.9255447073027093e-06
209,draw_prot_P05694,Enzyme usage,1.9255447073027093e-06
210,r_0727No1,Cysteine and methionine metabolism,1.9255447073027093e-06
211,r_0813No1,Cysteine and methionine metabolism,0.0
212,r_0812No1,Cysteine and methionine metabolism,0.0
213,draw_prot_P06106,Enzyme usage,0.0
214,r_0312No1,Cysteine and methionine metabolism,0.0
215,draw_prot_P06115,Enzyme usage,0.0
216,r_0255No1,Glyoxylate and dicarboxylate metabolism,0.0
217,draw_prot_P06168,Enzyme usage,-3.0028053353795585e-05
218,r_0669No1,"Valine, leucine and isoleucine metabolism",-3.0028053353795585e-05
219,r_0096No1,"Valine, leucine and isoleucine metabolism",-3.0028053353795585e-05
220,r_0960No2,Glycolysis / gluconeogenesis,2.6749245218333558e-05
221,r_4651No2,Fatty acid ester pathway,2.6749245218333558e-05
222,r_4669No2,Fatty acid ester pathway,2.6749245218333558e-05
223,draw_prot_P06169,Enzyme usage,2.6749245218333558e-05
224,r_0095No2,Butanoate metabolism,2.6749245218333558e-05
225,r_0959No2,Glycolysis / gluconeogenesis,2.6749245218333558e-05
226,r_0567No2,Tryptophan metabolism,2.6749245218333558e-05
227,r_0062No2,Complex alcohol metabolism,2.6749245218333558e-05
228,r_0064No3,Complex alcohol metabolism,2.6749245218333558e-05
229,draw_prot_P06174,Enzyme usage,0.0
230,r_1083No1,Porphyrin and chlorophyll metabolism,0.0
231,r_4152_REVNo1,Porphyrin and chlorophyll metabolism,0.0
232,r_4152No1,Porphyrin and chlorophyll metabolism,0.0
233,draw_prot_P06182,Enzyme usage,0.0
234,r_2457No1,Inositol phosphate metabolism,1.6677300862753181e-06
235,r_2458No1,Inositol phosphate metabolism,1.6677300862753181e-06
236,r_2455No1,Inositol phosphate metabolism,1.6677300862753181e-06
237,r_2459No1,Inositol phosphate metabolism,1.6677300862753181e-06
238,r_2460No1,Inositol phosphate metabolism,1.6677300862753181e-06
239,r_2461No1,Inositol phosphate metabolism,1.6677300862753181e-06
240,draw_prot_P06197,Enzyme usage,1.6677300862753181e-06
241,r_2454No1,Inositol phosphate metabolism,1.6677300862753181e-06
242,r_2456No1,Inositol phosphate metabolism,1.6677300862753181e-06
243,draw_prot_P06208,Enzyme usage,-2.839549914107781e-06
244,r_0025No1,"Valine, leucine and isoleucine metabolism",-2.839549914107781e-06
245,r_0024No1,"Valine, leucine and isoleucine metabolism",-2.839549914107781e-06
246,r_0564No1,Histidine metabolism,-8.759155790933772e-09
247,draw_prot_P06633,Enzyme usage,-8.759155790933772e-09
248,draw_prot_P06700,Enzyme usage,0.0
249,r_0767No1,Nicotinate and nicotinamide metabolism,0.0
250,draw_prot_P06738,Enzyme usage,0.0
251,r_0511No1,Starch and sucrose metabolism,0.0
252,draw_prot_P06773,Enzyme usage,-1.8138975430141705e-10
253,r_0326_REVNo1,Pyrimidine metabolism,-1.8138975430141705e-10
254,r_0326No1,Pyrimidine metabolism,-1.8138975430141705e-10
255,r_0327No1,Pyrimidine metabolism,-1.8138975430141705e-10
256,r_0035No1,Purine metabolism,0.0
257,r_0036No1,Purine metabolism,0.0
258,r_0034No1,Purine metabolism,0.0
259,r_0037No1,Purine metabolism,0.0
260,draw_prot_P06776,Enzyme usage,0.0
261,r_0033No2,Purine metabolism,0.0
262,r_1045No1,Pyrimidine metabolism,-7.935858889236687e-09
263,draw_prot_P06785,Enzyme usage,-7.935858889236687e-09
264,r_0439No1,Oxidative phosphorylation,-7.971895139075041e-06
265,draw_prot_P07143,Enzyme usage,-7.971895139075041e-06
266,draw_prot_P07149,Enzyme usage,1.0242942528089511e-05
267,r_2141No1,Fatty acid biosynthesis,1.0242942528089511e-05
268,r_2140No1,Fatty acid biosynthesis,1.0242942528089511e-05
269,r_0148No2,Purine metabolism,0.0
270,draw_prot_P07170,Enzyme usage,0.0
271,r_0538No1,Histidine metabolism,-2.825519885529597e-09
272,draw_prot_P07172,Enzyme usage,-2.825519885529597e-09
273,r_1043No1,tRNA metabolism,0.0
274,draw_prot_P07236,Enzyme usage,0.0
275,draw_prot_P07244,Enzyme usage,-1.1127144406426806e-07
276,r_0914No1,Purine metabolism,-1.1127144406426806e-07
277,r_0855No1,Purine metabolism,-1.1127144406426806e-07
278,r_0446No1,One carbon pool by folate,-2.1985799542692482e-08
279,r_0725No1,One carbon pool by folate,-2.1985799542692482e-08
280,r_0732_REVNo1,One carbon pool by folate,-2.1985799542692482e-08
281,r_0732No1,One carbon pool by folate,-2.1985799542692482e-08
282,r_0725_REVNo1,One carbon pool by folate,-2.1985799542692482e-08
283,draw_prot_P07245,Enzyme usage,-2.1985799542692482e-08
284,r_4671No2,Fatty acid ester pathway,0.0
285,r_0167No2,Complex alcohol metabolism,0.0
286,r_4662No2,Fatty acid ester pathway,0.0
287,r_4653No2,Fatty acid ester pathway,0.0
288,r_0180No2,Complex alcohol metabolism,0.0
289,r_0187No2,Tyrosine metabolism,0.0
290,draw_prot_P07246,Enzyme usage,0.0
291,r_0183No2,Complex alcohol metabolism,0.0
292,r_0170No2,Phenylalanine metabolism,0.0
293,r_0165No2,Glycolysis / gluconeogenesis,0.0
294,r_0574No1,Inositol phosphate metabolism,0.0
295,r_0575No1,Inositol phosphate metabolism,0.0
296,r_0572No1,Inositol phosphate metabolism,0.0
297,draw_prot_P07250,Enzyme usage,0.0
298,r_0573No1,Inositol phosphate metabolism,0.0
299,draw_prot_P07251,Enzyme usage,-1.730835926900709e-07
300,r_0226No1,Oxidative phosphorylation,-1.730835926900709e-07
301,r_0226No2,Oxidative phosphorylation,-1.730835926900709e-07
302,r_0438No5,Oxidative phosphorylation,-2.5288582576368105e-06
303,draw_prot_P07255,Enzyme usage,-2.5288582576368105e-06
304,r_0438No1,Oxidative phosphorylation,-2.5288582576368105e-06
305,r_0439No1,Oxidative phosphorylation,-7.971895139075045e-06
306,draw_prot_P07256,Enzyme usage,-7.971895139075045e-06
307,r_0439No1,Oxidative phosphorylation,-7.971895139075043e-06
308,draw_prot_P07257,Enzyme usage,-7.971895139075043e-06
309,r_0250No1,Pyrimidine metabolism,-1.2248707660867709e-08
310,draw_prot_P07258,Enzyme usage,-1.2248707660867709e-08
311,r_0250No1,Pyrimidine metabolism,-3.946746819322899e-08
312,r_0214No1,Pyrimidine metabolism,-3.946746819322899e-08
313,draw_prot_P07259,Enzyme usage,-3.946746819322899e-08
314,r_0471No2,"Alanine, aspartate and glutamate metabolism",-1.051199220242351e-05
315,draw_prot_P07262,Enzyme usage,-1.051199220242351e-05
316,r_0539No1,tRNA metabolism,-2.1897574150248565e-07
317,draw_prot_P07263,Enzyme usage,-2.1897574150248565e-07
318,r_0540No1,tRNA metabolism,-2.1897574150248565e-07
319,r_0060No1,"Valine, leucine and isoleucine metabolism",-8.448305930222872e-06
320,draw_prot_P07264,Enzyme usage,-8.448305930222872e-06
321,r_0023_REVNo1,"Valine, leucine and isoleucine metabolism",-8.448305930222872e-06
322,r_0023No1,"Valine, leucine and isoleucine metabolism",-8.448305930222872e-06
323,r_0060_REVNo1,"Valine, leucine and isoleucine metabolism",-8.448305930222872e-06
324,r_0673No1,Arginine and proline metabolism,0.0
325,r_0673_REVNo1,Arginine and proline metabolism,0.0
326,r_0012No1,"Alanine, aspartate and glutamate metabolism",0.0
327,r_0672No1,Arginine and proline metabolism,0.0
328,draw_prot_P07275,Enzyme usage,0.0
329,r_0672_REVNo1,Arginine and proline metabolism,0.0
330,r_0738No1,Terpenoid backbone biosynthesis,9.51952671049239e-07
331,draw_prot_P07277,Enzyme usage,9.51952671049239e-07
332,r_0736No1,Terpenoid backbone biosynthesis,9.51952671049239e-07
333,r_0737No1,Terpenoid backbone biosynthesis,9.51952671049239e-07
334,r_0735No1,Terpenoid backbone biosynthesis,9.51952671049239e-07
335,r_0902No1,Fructose and mannose metabolism,-8.338898056153363e-05
336,r_0902_REVNo1,Fructose and mannose metabolism,-8.338898056153363e-05
337,draw_prot_P07283,Enzyme usage,-8.338898056153363e-05
338,draw_prot_P07284,Enzyme usage,0.0
339,r_0995No1,tRNA metabolism,0.0
340,r_0202No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",2.0791390149070084e-06
341,draw_prot_P07285,Enzyme usage,2.0791390149070084e-06
342,r_4170_REVNo1,N-glycan biosynthesis,0.0
343,r_4170No1,N-glycan biosynthesis,0.0
344,draw_prot_P07286,Enzyme usage,0.0
345,r_0097No1,"Valine, leucine and isoleucine metabolism",-1.0788211247360722e-05
346,draw_prot_P07342,Enzyme usage,-1.0788211247360722e-05
347,r_0016No2,"Valine, leucine and isoleucine metabolism",-1.0788211247360722e-05
348,r_0097No2,"Valine, leucine and isoleucine metabolism",-1.0788211247360722e-05
349,r_0016No1,"Valine, leucine and isoleucine metabolism",-1.0788211247360722e-05
350,draw_prot_P07347,Enzyme usage,0.0
351,r_0992No1,Cysteine and methionine metabolism,0.0
352,r_0678No1,Lysine metabolism,-9.067261671074152e-07
353,draw_prot_P07702,Enzyme usage,-9.067261671074152e-07
354,r_1090No1,tRNA metabolism,-6.99146538397141e-07
355,r_1089No1,tRNA metabolism,-6.99146538397141e-07
356,draw_prot_P07806,Enzyme usage,-6.99146538397141e-07
357,r_0345No1,Folate biosynthesis,-6.365044004021201e-09
358,draw_prot_P07807,Enzyme usage,-6.365044004021201e-09
359,r_0344No1,Folate biosynthesis,-6.365044004021201e-09
360,draw_prot_P07991,Enzyme usage,0.0
361,r_0819No1,Arginine and proline metabolism,0.0
362,draw_prot_P08004,Enzyme usage,0.0
363,r_0272No3,Amino sugar and nucleotide sugar metabolism,0.0
364,draw_prot_P08019,Enzyme usage,0.0
365,r_0464No1,Starch and sucrose metabolism,0.0
366,r_0439No1,Oxidative phosphorylation,-7.971895139075045e-06
367,draw_prot_P08067,Enzyme usage,-7.971895139075045e-06
368,r_0451_REVNo1,Citrate cycle (TCA cycle),-2.4821640450368252e-08
369,r_0452No1,Citrate cycle (TCA cycle),-2.4821640450368252e-08
370,r_0451No1,Citrate cycle (TCA cycle),-2.4821640450368252e-08
371,draw_prot_P08417,Enzyme usage,-2.4821640450368252e-08
372,r_0452_REVNo1,Citrate cycle (TCA cycle),-2.4821640450368252e-08
373,draw_prot_P08425,Enzyme usage,0.0
374,r_0853No1,tRNA metabolism,0.0
375,r_1071_REVNo1,Galactose metabolism,0.0
376,r_1071No1,Galactose metabolism,0.0
377,r_0459No1,Galactose metabolism,0.0
378,draw_prot_P08431,Enzyme usage,0.0
379,draw_prot_P08432,Enzyme usage,0.0
380,r_0817No1,Arginine and proline metabolism,0.0
381,r_2448No1,Glycerophospholipid metabolism,1.5402456977345185e-08
382,r_2447No1,Glycerophospholipid metabolism,1.5402456977345185e-08
383,draw_prot_P08456,Enzyme usage,1.5402456977345185e-08
384,r_2449No1,Glycerophospholipid metabolism,1.5402456977345185e-08
385,r_2446No1,Glycerophospholipid metabolism,1.5402456977345185e-08
386,r_2450No1,Glycerophospholipid metabolism,1.5402456977345185e-08
387,r_2451No1,Glycerophospholipid metabolism,1.5402456977345185e-08
388,r_2452No1,Glycerophospholipid metabolism,1.5402456977345185e-08
389,r_2453No1,Glycerophospholipid metabolism,1.5402456977345185e-08
390,draw_prot_P08465,Enzyme usage,-6.977163047311959e-07
391,r_0549No1,Cysteine and methionine metabolism,-6.977163047311959e-07
392,draw_prot_P08524,Enzyme usage,1.2635162830866417e-05
393,r_0462No1,Terpenoid backbone biosynthesis,1.2635162830866417e-05
394,r_0355No1,Terpenoid backbone biosynthesis,1.2635162830866417e-05
395,r_0439No1,Oxidative phosphorylation,-7.971895139075041e-06
396,draw_prot_P08525,Enzyme usage,-7.971895139075041e-06
397,r_1025No1,Sulfur metabolism,0.0
398,draw_prot_P08536,Enzyme usage,0.0
399,r_0996No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",-1.5918482481315208e-06
400,r_0065No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",-1.5918482481315208e-06
401,r_0997No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",-1.5918482481315208e-06
402,draw_prot_P08566,Enzyme usage,-1.5918482481315208e-06
403,r_0040No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",-1.5918482481315208e-06
404,r_0039No1,"Phenylalanine, tyrosine and tryptophan biosynthesis",-1.5918482481315208e-06
405,r_0147No1,Purine metabolism,0.0
406,draw_prot_P08678,Enzyme usage,0.0
407,r_0301No1,Citrate cycle (TCA cycle),0.0
408,draw_prot_P08679,Enzyme usage,0.0
409,draw_prot_P09201,Enzyme usage,0.0
410,r_0449No1,Glycolysis / gluconeogenesis,0.0
411,draw_prot_P09368,Enzyme usage,0.0
412,r_0940No1,Arginine and proline metabolism,0.0
413,r_0665No1,tRNA metabolism,-3.1663976030901724e-07
414,draw_prot_P09436,Enzyme usage,-3.1663976030901724e-07
415,r_0724_REVNo1,One carbon pool by folate,8.367582222440603e-25
416,r_0724No1,One carbon pool by folate,8.367582222440603e-25
417,r_0447No1,One carbon pool by folate,8.367582222440603e-25
418,draw_prot_P09440,Enzyme usage,8.367582222440603e-25
419,r_0447_REVNo1,One carbon pool by folate,8.367582222440603e-25
420,r_0733No1,One carbon pool by folate,8.367582222440603e-25
421,r_0733_REVNo1,One carbon pool by folate,8.367582222440603e-25
422,r_0226No1,Oxidative phosphorylation,-5.625178488467915e-07
423,draw_prot_P09457,Enzyme usage,-5.625178488467915e-07
424,r_0226No2,Oxidative phosphorylation,-5.625178488467915e-07
425,r_0504No1,"Glycine, serine and threonine metabolism",-2.485117424545333e-06
426,draw_prot_P09624,Enzyme usage,-2.485117424545333e-06
427,r_0832No1,Citrate cycle (TCA cycle),-2.485117424545333e-06
428,r_0831No1,Citrate cycle (TCA cycle),-2.485117424545333e-06
429,r_0505No2,"Glycine, serine and threonine metabolism",-2.485117424545333e-06
430,r_0509No1,"Glycine, serine and threonine metabolism",-2.485117424545333e-06
431,r_0505No1,"Glycine, serine and threonine metabolism",-2.485117424545333e-06
432,r_0508No1,"Glycine, serine and threonine metabolism",-2.485117424545333e-06
433,r_1030No1,One carbon pool by folate,-2.485117424545333e-06
434,r_0506No1,"Glycine, serine and threonine metabolism",-2.485117424545333e-06
435,r_0507No1,"Glycine, serine and threonine metabolism",-2.485117424545333e-06
436,r_0501No1,"Glycine, serine and threonine metabolism",-2.485117424545333e-06
437,r_0961No1,Glycolysis / gluconeogenesis,-2.485117424545333e-06
438,r_0975No4,Purine metabolism,0.0
439,r_0974No4,Purine metabolism,0.0
440,r_0979No4,Purine metabolism,0.0
441,r_0978No4,Purine metabolism,0.0
442,r_0976No4,Pyrimidine metabolism,0.0
443,draw_prot_P09938,Enzyme usage,0.0
444,r_0977No4,Pyrimidine metabolism,0.0
445,draw_prot_P09950,Enzyme usage,0.0
446,r_0081No1,Porphyrin and chlorophyll metabolism,0.0
447,r_4210_REVNo1,Alternate carbon metabolism,0.0
